Inf,Rec,Name,Transfer Value,Pts/Gm,CA,Division,xGP/90,Sv %,xSv %,Aer A/90,OPCrs C/90,Hdrs A,Conv %,Mins/Gl,xA/90,Saves/90,xG/90,Gls/90,NPxG/90,xG/shot,Shot %,Hdrs W/90,K Hdrs/90,Cr C/A,Crs A/90,Cr C/90,OPCr %,OPCrs C,Dist/90,Drb/90,Ps A/90,Ps C/90,Sprints/90,Poss Lost/90,Pr passes/90,Shots Outside Box/90,Shot/90,ShT/90,Blk/90,Clr/90,Int/90,Poss Won/90,OPKP/90,Pres C/90,Shts Blckd/90,Hdr %,Tck/90,Tck R,Pas %,Pres A/90,K Tck/90,Ch C/90,K Ps/90,Asts/90
,  ,James Leacock,£0,1.26,78,Sports Direct Premiership,,,,11.21,0.11,416,12%,303.55,0.1,,0.28,0.3,0.28,0.11,45%,1.81,0.03,30%,0.35,0.11,31%,4,11.4km,1.05,23.02,20.27,6.36,21.24,0.46,0.81,2.45,1.11,0.38,0.75,1,1.78,0.49,1.4,0,16%,0.92,92%,88%,5.88,0,0.16,0.49,0.05
,  ,Paul Smyth,£110K  £350K,1.43,90,Sports Direct Premiership,,,,4.18,0.15,114,20%,819,0.25,,0.08,0.11,0.08,0.15,60%,1.87,0.04,21%,1.79,0.37,20%,4,12.0km,0.73,43.37,38.64,7.33,11.43,3.41,0.04,0.55,0.33,0.51,0.99,1.5,16.96,1.58,2.93,0,45%,2.05,93%,89%,10.7,0.07,0.33,1.58,0.22
Wnt,  ,Alistair McMaster,£4K  £12K,1.48,76,Sports Direct Premiership,,,,5.5,0.62,168,,,0.28,,0.12,,0.12,0.17,29%,2.45,0.07,11%,5.79,0.65,11%,19,12.3km,2.22,33.73,27.81,12.66,13.87,3.24,0.16,0.69,0.2,0.33,1.15,1.77,4.58,1.83,2.26,0,45%,1.64,88%,82%,10.67,0,0.62,1.83,0.39
,  ,Brandon Nelson,£190K  £550K,1.67,103,Sports Direct Premiership,,,,6.99,0,274,10%,252.14,0.24,,0.43,0.36,0.43,0.12,40%,1.4,0,,6.58,0.97,15%,0,11.8km,1.17,26.59,23.23,7.65,15.88,1.17,0.97,3.67,1.48,0.15,0.36,0.99,6.65,0.84,1.96,0,20%,1.33,84%,87%,7.67,0.03,0.31,2.22,0.15
Opt,  ,Kieran Todd,£12K  £35K,1.41,89,Sports Direct Premiership,,,,9.56,0.08,343,16%,215.33,0.16,,0.25,0.42,0.25,0.09,38%,1.59,0.03,12%,0.67,0.08,13%,3,11.8km,0.95,23.82,20.4,7.33,14.07,0.61,1,2.67,1,0.17,0.53,0.92,3.04,0.64,1.7,0,17%,0.86,76%,86%,6.69,0,0.31,0.64,0.28
Wnt,  ,Shay Hodges,£20K  £60K,2.14,104,Sports Direct Premiership,,,,2.85,0.12,96,13%,432.43,0.39,,0.22,0.21,0.22,0.13,38%,1.28,0.12,11%,1.67,0.15,9%,4,12.5km,0.74,45.01,38.65,10.26,12.28,3.63,0.54,1.64,0.62,0.42,0.89,1.58,13.59,1.61,2.88,0,45%,1.72,73%,86%,10.26,0.06,0.56,2.77,0.45
,  ,Joe MacKenzie,£45K  £140K,1.13,99,Sports Direct Premiership,,,,5.07,0.09,56,5%,994,0.18,,0.15,0.09,0.15,0.09,26%,0.63,0,8%,1.63,0.18,11%,1,12.7km,1.9,30.15,24.54,10.41,17.11,2.44,0.81,1.72,0.45,0.18,0.81,1.27,13.58,1.36,2.35,0,13%,0.91,56%,81%,9.51,0,0.09,1.36,0.09
,  ,Jakob Humar,£450K  £1.3M,1.44,110,Slovenian First League,,,,2.85,0.11,76,,,0.36,,0.14,,0.14,0.11,24%,0.86,0,18%,2.7,0.34,13%,3,12.3km,1.2,45.92,41.45,10.02,13.43,3.19,0.38,1.28,0.3,0.6,1.05,1.84,14.48,1.2,2.85,0.04,30%,1.8,80%,90%,10.39,0.15,0.71,1.99,0.34
,  ,Boris Zajc,£375K  £1.1M,1.49,110,Slovenian First League,,,,10.37,0.1,314,12%,209.62,0.12,,0.48,0.43,0.48,0.13,50%,2.44,0.07,16%,0.59,0.1,17%,3,11.5km,0.86,23.15,19.88,6.57,19.98,0.86,1.16,3.67,1.85,0.1,0.56,0.92,2.51,0.69,1.45,0,24%,1.22,90%,86%,6.9,0,0.36,0.69,0.07
Wnt,  ,Žiga Pečnik,£24K  £70K,1.23,109,Slovenian First League,,,,9.35,0.06,306,2%,"2,946.00",0.12,,0.15,0.03,0.15,0.11,31%,1.99,0.03,22%,0.27,0.06,22%,2,11.6km,1.68,25.45,21.63,6.38,19.34,0.67,0.31,1.37,0.43,0.21,0.46,1.31,3.45,0.37,1.19,0,21%,1.07,97%,85%,7.88,0.03,0.27,0.37,0.03
,  ,Bartosz Mazurek,£8K  £24K,1.15,90,Slovenian First League,,,,7.25,0,126,14%,521.67,0.13,,0.16,0.17,0.16,0.13,32%,2.42,0,,0.35,0,0%,0,13.2km,1.32,33.07,27.43,9.95,18.63,1.73,0.23,1.27,0.4,0.4,0.86,1.73,8.45,0.81,1.38,0,33%,0.46,80%,83%,9.78,0,0.06,0.81,0.12
,  ,Gregor Topič,£200K  £600K,1.32,104,Slovenian First League,,,,7.44,0,165,11%,285.14,0.2,,0.29,0.32,0.29,0.1,44%,2.66,0.14,,0.81,0,0%,0,12.7km,0.95,28.36,24.93,10.28,16.73,1.67,0.81,2.84,1.26,0.23,0.36,0.81,8.7,1.08,2.62,0,36%,1.67,77%,88%,9.02,0.09,0.18,1.08,0.18
,  ,Aleksander Pušnik,£50K  £150K,1.33,79,Slovenian First League,,,,4.35,0.56,39,17%,806,0.27,,0.05,0.11,0.05,0.07,33%,1.45,0,38%,3.24,0.78,24%,5,11.4km,1.12,45.56,38.86,6.92,12.84,3.8,0.33,0.67,0.22,0.33,1.23,1.45,7.7,1.67,2.46,0.11,33%,1.67,79%,85%,8.49,0.11,0.11,1.9,0.11
,  ,Danijel Ždinjak,£500K  £1.6M,2.11,114,Slovenian First League,,,,3.2,0.23,85,4%,"1,196.50",0.36,,0.2,0.08,0.2,0.09,32%,0.9,0,22%,1.02,0.23,22%,6,12.2km,1.28,44.83,38.89,9.89,11.55,3.31,0.71,2.11,0.68,0.34,0.64,1.69,16.32,1.35,3.46,0,28%,1.92,71%,87%,10.94,0.04,0.49,2.75,0.3
,  ,Jan Kovačič,£40K  £110K,0.62,98,Slovenian First League,,,,6.81,0.1,131,,,0.06,,0.14,,0.14,0.12,23%,1.92,0.05,10%,1.04,0.1,10%,2,13.1km,1.45,32.32,27.23,9.46,19.33,1.66,0.52,1.14,0.26,0.21,0.99,1.51,8.89,1.09,2.44,0,28%,1.25,86%,84%,10.18,0,0.1,1.97,0.1
,  ,Anej Kmetec,£240K  £700K,0.9,104,Slovenian First League,,,,3.7,0.21,90,9%,"1,094.50",0.22,,0.1,0.08,0.1,0.11,43%,1.6,0,29%,0.7,0.21,29%,5,12.4km,1.36,46.67,39.68,10.07,15.46,3.49,0.29,0.95,0.41,0.45,0.82,1.77,12.42,1.11,2.8,0.04,43%,1.77,75%,85%,10.53,0.08,0.33,1.11,0.12
,  ,Patrik Brdik,£475K  £1.4M,1.57,113,Slovenian First League,,,,5.95,0.14,209,7%,452,0.12,,0.32,0.2,0.32,0.12,38%,1.25,0.06,13%,3.93,0.51,13%,5,12.9km,1.17,30.35,26.28,11.41,14.91,2.67,0.74,2.79,1.05,0.11,0.65,1.54,13.4,1.51,2.42,0,21%,1.76,84%,87%,9.59,0.03,0.31,1.56,0.06
,  ,Izidor Topić,£375K  £1.1M,1.35,105,Slovenian First League,,,,3.28,0.18,90,6%,"1,236.50",0.24,,0.17,0.07,0.17,0.13,28%,1.24,0.07,19%,0.95,0.18,19%,5,11.9km,0.8,44.18,37.41,9.24,14.56,3.28,0.51,1.31,0.36,0.33,0.66,1.82,11.83,1.09,2.84,0,38%,1.93,77%,85%,10.88,0,0.51,1.09,0.18
,  ,Marko Fras,Not for Sale,1.24,113,Slovenian First League,,,,2.92,0.11,82,3%,"2,530.00",0.2,,0.1,0.04,0.1,0.1,34%,0.57,0,13%,0.78,0.11,14%,3,12.4km,0.82,41.34,35.54,10.21,14.3,3.52,0.32,1.03,0.36,0.39,0.92,1.57,12.95,1.39,2.88,0,20%,1.78,82%,86%,11.21,0.07,0.25,1.53,0.14
,  ,Louie Lashley,£600K  £1.8M,2.33,111,Irish Premier Division,,,,5.88,0.34,70,,,0.15,,0.03,,0.03,0.08,40%,0.92,0,14%,2.77,0.42,15%,4,12.9km,2.61,30.17,26.89,15.63,10.92,3.36,0.08,0.42,0.17,0.34,1.01,2.27,6.05,1.01,2.35,0,16%,1.85,81%,89%,12.52,0,0.25,1.43,0.25
,  ,Vladimir Adam,£6K  £18K,0.94,86,Irish Premier Division,,,,5.36,0,66,,,0.18,,0.06,,0.06,0.08,10%,1.79,0,,0.32,0,0%,0,12.5km,1.54,40.74,36.44,9.17,17.04,2.27,0.16,0.81,0.08,0.57,1.38,1.22,7.14,1.3,1.95,0,33%,1.14,78%,89%,9.41,0.08,0.24,1.3,0.16
,  ,Lee Duncan,£50K  £150K,1,90,Irish Premier Division,,,,4.54,0,52,,,0.16,,0.18,,0.18,0.14,27%,1.22,0,,3.41,0.17,5%,0,13.0km,1.14,35.21,28.92,8.83,15.9,2.53,0.17,1.31,0.35,0.26,0.96,1.05,11.36,1.31,2.36,0,27%,1.05,60%,82%,7.43,0,0.52,2.88,0.44
Wnt,  ,Finn Caspe,£140K  £400K,1.05,104,Irish Premier Division,,,,5.5,0.12,89,7%,728,0.21,,0.17,0.12,0.17,0.1,25%,1.61,0,20%,0.62,0.12,20%,2,12.8km,1.11,31.96,27.2,11.44,15.58,2.35,0.43,1.73,0.43,0.25,0.62,1.3,13.29,1.42,2.66,0,29%,1.73,82%,85%,10.63,0.12,0.43,1.42,0.19
,  ,Aytekin Soydan,£1.1M  £3.3M,2.13,120,Irish Premier Division,,,,5.08,0.09,55,24%,195,0.35,,0.21,0.46,0.21,0.11,76%,1.29,0.09,11%,2.12,0.09,4%,1,12.6km,1.48,31.38,27.23,10.15,17.91,1.94,0.37,1.94,1.48,0.55,1.11,1.66,14.58,1.11,2.58,0,25%,1.94,84%,87%,10.52,0,0.28,1.11,0.18
Lst,  ,Callum Byrne,£100K,1.1,98,Irish Premier Division,,,,5.26,0.45,81,,,0.31,,0.08,,0.08,0.25,0%,2.86,0.58,35%,1.3,0.45,35%,7,11.4km,1.17,48.34,43.41,7.66,16.03,3.44,0,0.32,0,0.45,1.17,1.49,12.2,1.23,3.24,0,54%,1.43,79%,90%,10.64,0,0.52,1.23,0.06
,  ,Ben Wilson,£325K  £950K,0.94,100,Irish Premier Division,,,,3.24,0.17,39,8%,"1,085.00",0.23,,0.07,0.08,0.07,0.07,50%,0.33,0.08,14%,1.16,0.17,14%,2,12.9km,1.16,44.46,39.32,10.7,14.1,2.82,0.33,1,0.5,0.25,0.41,1.58,11.94,1,3.24,0,10%,1.82,85%,88%,10.37,0,0.58,1,0.08
,  ,Theo Gregory,£120K  £350K,0.94,99,Irish Premier Division,,,,6.76,0.07,103,10%,686,0.24,,0.07,0.13,0.07,0.06,25%,1.77,0,5%,3.41,0.26,8%,1,12.9km,1.38,32.6,27.09,9.51,16.99,2.49,0.66,1.31,0.33,0.2,0.92,1.18,12.2,1.38,2.62,0,26%,1.31,63%,83%,10.3,0,0.46,1.38,0.33
,  ,Cheveyo Tsawa,£750K  £2.2M,1.47,112,Russian Premier League,,,,4.56,0.06,153,9%,"1,509.00",0.16,,0.04,0.06,0.04,0.06,26%,1.61,0.54,14%,0.42,0.06,14%,2,12.5km,0.6,48.52,42.91,10.59,7.13,4,0.27,0.69,0.18,0.36,0.86,1.85,13.45,0.89,2.92,0,35%,2.06,82%,88%,9.39,0.06,0.15,0.89,
,  ,Miloš Muratović,£1.3M  £3.9M,1.33,112,Russian Premier League,,,,3.49,0.25,71,18%,915,0.38,,0.04,0.1,0.04,0.08,36%,0.79,0,25%,1.97,0.3,15%,5,12.4km,1.77,40.18,34.62,10.43,16.92,3,0.34,0.54,0.2,0.3,0.49,1.97,12.44,1.38,2.61,0,23%,1.13,56%,86%,10.67,0,0.54,2.7,0.2
,  ,Chancel Kitenge,£1.6M  £4.8M,1.37,113,Russian Premier League,,,,3.98,0.16,97,11%,438.2,0.24,,0.19,0.21,0.19,0.1,40%,1.23,0.04,21%,0.78,0.16,21%,4,12.2km,0.94,46.25,39.06,10.02,14.62,3.04,0.62,1.93,0.78,0.45,0.53,1.31,12.08,1.07,3.2,0,31%,2.55,90%,84%,10.35,0,0.45,2.22,0.33
,  ,Hussain Karim,£1.5M  £4.4M,1.37,114,Russian Premier League,,,,4.61,0.21,109,2%,"2,128.00",0.2,,0.25,0.04,0.25,0.14,36%,0.76,0,20%,1.02,0.21,21%,5,13.1km,1.73,31.13,25.93,11.63,20.05,1.73,0.55,1.86,0.68,0.21,0.55,1.1,8.33,1.02,2.37,0,17%,1.31,66%,83%,9.9,0,0.25,1.31,0.17
,  ,Jociley Fernandes,Not for Sale,1.31,122,Russian Premier League,,,,6.96,0.04,188,10%,243.1,0.16,,0.43,0.37,0.43,0.11,45%,1.55,0,4%,0.78,0.04,5%,1,12.5km,1.74,27.99,23.95,9.03,17.96,1.48,1.18,3.81,1.7,0.37,0.48,1.33,7.74,0.89,2.26,0,22%,1.44,78%,86%,8.59,0,0.3,1.96,0.15
,  ,Nino Ehemann,£1.9M  £5.6M,1.38,116,Russian Premier League,,,,5.26,0.82,64,9%,548,0.28,,0.17,0.16,0.17,0.09,36%,0.57,0,15%,5.34,0.82,15%,10,12.3km,1.64,33.91,28.91,13.47,14.12,2.79,0.66,1.81,0.66,0.57,1.56,1.48,6.16,1.4,2.79,0,11%,1.64,95%,85%,12.89,0,0.57,1.4,0.25
,  ,Vyacheslav Strelnik,£1M  £3.1M,1.45,116,Russian Premier League,,,,3.52,0.34,52,18%,665.5,0.2,,0.09,0.14,0.09,0.11,45%,1.15,0.07,45%,0.74,0.34,45%,5,12.4km,1.01,43.34,38.75,9.8,13.25,2.37,0.2,0.74,0.34,0.41,0.88,1.96,12.58,1.01,2.84,0,33%,1.83,77%,89%,9.87,0.07,0.27,1.01,0.34
,  ,Jérôme Herrmann,£11M  £32M,1.93,136,Russian Premier League,,,,2.81,0.14,62,21%,248,0.22,,0.19,0.36,0.19,0.11,36%,1.27,0.05,15%,0.91,0.14,15%,3,12.8km,1.77,47,41.1,11.57,10.52,3.31,0.45,1.77,0.64,0.18,0.54,1.5,12.7,1.09,3.36,0,45%,2.18,81%,87%,11.02,0.09,0.54,1.13,0.14
,  ,Julio Muro,£26K  £75K,1.4,101,Russian Premier League,,,,3.14,0.14,44,,,0.2,,0,,0,0,,0.71,0.29,22%,0.64,0.14,22%,2,11.9km,0.21,48.64,44.5,9.36,6.5,4.86,0,,,0.21,1.29,1.07,12.64,1.5,3.21,0.07,23%,2.07,67%,91%,9.36,0.07,0.36,1.5,0.14
Inj,  ,Vladimir Morozov,£1.8M  £5.4M,1.36,117,Russian Premier League,,,,2.97,0.16,73,13%,553.5,0.28,,0.14,0.16,0.14,0.11,38%,1.46,0.04,21%,2.8,0.37,13%,4,11.9km,1.02,43.5,37.52,9.35,11.87,3.58,0.28,1.3,0.49,0.33,0.77,1.79,14.07,1.22,2.56,0,49%,1.75,84%,86%,11.42,0.04,0.33,1.22,0.12
U21,  ,Milan Urban,£475K,1.14,102,Russian Premier League,,,,5.9,0.1,61,3%,930,0.21,,0.29,0.1,0.29,0.1,30%,2.13,0.19,10%,0.97,0.1,10%,1,12.5km,0.48,31.55,27.19,10.65,24.19,1.74,1.06,2.9,0.87,0.1,1.06,1.55,10.65,1.06,1.55,0,36%,0.87,69%,86%,8.61,0,0.39,1.06,0.1
,  ,Martin Santos,£1.5M  £4.4M,0.97,116,Russian Premier League,,,,6.95,0,209,10%,338.25,0.09,,0.24,0.27,0.24,0.09,35%,0.96,0,,0.6,0,0%,0,12.1km,1.63,26.04,22.08,8.12,18.82,0.9,0.73,2.59,0.9,0.23,0.8,1.43,4.69,0.5,1.93,0,14%,1.26,79%,85%,7.52,0.07,0.33,0.5,0.1
,  ,Corean Drost,£1.7M  £5M,1.17,102,Russian Premier League,,,,6.7,0.19,107,9%,719,0.33,,0.22,0.13,0.22,0.16,36%,1.75,0.13,33%,0.56,0.19,33%,3,13.1km,1.13,32.42,27.79,10.58,18.96,1.94,0.38,1.38,0.5,0.31,0.81,1.82,10.7,1,1.82,0,26%,1.31,84%,86%,9.14,0.06,0.13,1,0.06
,  ,Aimar Blázquez,£170K  £500K,1,103,Russian Premier League,,,,7.64,0.08,192,6%,452.6,0.22,,0.37,0.2,0.37,0.1,43%,1.15,0.04,6%,2.39,0.12,5%,2,12.0km,1.67,25.85,22.71,9.47,16.66,1.51,1.03,3.5,1.51,0.16,0.68,1.19,3.14,0.76,2.39,0,15%,1.71,86%,88%,8.71,0,0.28,0.76,0.2
,  ,Håvard Altervik,£650K  £1.9M,1.35,104,Russian Premier League,,,,9.59,0.08,240,9%,281.5,0.18,,0.35,0.32,0.32,0.1,47%,2.6,0.12,14%,3.64,0.36,10%,2,11.7km,1.44,22.18,19.3,6.67,15.87,1.04,1.44,3.52,1.64,0.04,0.64,0.92,2.76,0.68,1.52,0,27%,1.16,81%,87%,7.11,0,0.32,0.68,0.12
,  ,Lev Pozdnyakov,£80K  £240K,1.23,107,Russian Premier League,,,,5.86,0.19,152,8%,777.67,0.13,,0.18,0.12,0.18,0.12,43%,1.43,0,31%,0.62,0.19,31%,5,12.6km,1.39,30.51,26.43,11.19,20.99,1.16,0.46,1.54,0.66,0.42,0.58,1.66,10.76,0.69,2.28,0,24%,1.2,76%,87%,10.42,0,0.23,1.04,0.19
Inj,  ,Valentinos Tsaftaridis,£4.5M  £13.5M,2.06,126,Russian Premier League,,,,3.54,0.07,107,27%,680.25,0.36,,0.03,0.13,0.03,0.06,27%,1.72,0.03,8%,1.22,0.1,8%,2,11.9km,0.96,45.74,39.79,10.39,13.56,3.24,0.17,0.5,0.13,0.53,0.79,1.62,12.87,1.29,2.41,0,49%,1.46,69%,87%,10.92,0.03,0.73,1.59,0.46
Inj,  ,Taavi Koukkumäki,£850K  £2.6M,1.49,111,Russian Premier League,,,,8.44,0,225,12%,199.92,0.12,,0.49,0.45,0.49,0.13,41%,2.55,0.04,,1.61,0.08,5%,0,11.5km,1.09,23,20,6.23,17.74,0.9,0.94,3.86,1.58,0.04,0.38,0.86,1.91,0.9,2.06,0,30%,1.46,78%,87%,7.13,0,0.15,0.9,0.04
,  ,Tomas Basa,£170K  £500K,1.65,96,Slovak First Division,,,,7.07,0.19,218,3%,"2,775.00",0.11,,0.12,0.03,0.12,0.1,38%,2.14,0,20%,1.17,0.19,17%,6,13.1km,2.01,32.85,28.02,10.74,20.08,1.91,0.26,1.1,0.42,0.23,0.49,1.75,9.34,1.17,2.5,0,30%,1.43,81%,85%,10.02,0.03,0.1,1.17,0.16
,  ,Roberto Tarantino,£6.2M  £18.5M,1.25,125,Slovak First Division,,,,3.16,0.25,38,17%,541.5,0.12,,0.11,0.17,0.11,0.11,50%,1.33,0,23%,9.39,1.5,16%,3,12.2km,1.08,40.39,35.15,10.64,11.14,3.07,0.33,1,0.5,0.17,1.16,1.41,11.47,1.33,3.32,0,42%,2.74,92%,87%,12.05,0,0.33,1.33,0.25
,  ,Daniel Otepka,£40K  £120K,1.64,101,Slovak First Division,,,,5.06,0.13,38,14%,225.33,0.09,,0.23,0.4,0.23,0.08,18%,2.13,0.13,4%,2.8,0.13,5%,1,12.3km,2,32.75,27.56,12.51,17.04,1.33,1.33,2.93,0.53,0.4,0.93,1.2,5.99,1.07,1.6,0,42%,1.46,92%,84%,11.98,0,0.27,1.07,
,  ,Michal Angelovic,£325K  £1M,1.33,117,Slovak First Division,,,,5.74,0.24,47,18%,368.5,0.1,,0.13,0.24,0.13,0.09,36%,1.47,0.12,33%,0.73,0.24,33%,2,13.1km,1.47,31.63,26.5,10.5,17.95,1.71,0.49,1.34,0.49,0.61,0.73,1.95,10.62,0.98,2.93,0,26%,1.59,76%,84%,10.38,0,,0.98,
,  ,Marco Sorci,£9.6M  £29M,1.07,124,Slovak First Division,,,,3.94,0.24,50,13%,571,0.14,,0.13,0.16,0.13,0.1,44%,1.1,0.08,20%,3.63,0.55,15%,3,13.2km,1.18,43.5,37.12,11.51,12.29,4.02,0.55,1.26,0.55,0.39,0.71,1.81,11.03,1.34,3.15,0,28%,2.21,80%,85%,10.56,0.08,0.32,2.21,
,  ,Zdenko Hradecký,£230K  £700K,0.97,102,Slovak First Division,,,,5.36,0.19,115,5%,643.67,0.25,,0.39,0.14,0.35,0.14,43%,0.75,0,23%,1.26,0.23,19%,4,12.9km,1.31,29.04,23.96,9.93,15.24,1.86,0.7,2.8,1.21,0.14,0.98,2.05,11.05,1.4,1.82,0,14%,1.07,79%,83%,7.97,0.05,0.37,1.4,0.37
,  ,Peter Csolle,£150K  £450K,1.23,94,Slovak First Division,,,,7.73,0.29,187,13%,544.5,0.14,,0.17,0.17,0.17,0.13,38%,1.86,0.17,10%,2.81,0.29,10%,7,12.5km,1.94,32.6,27.11,11.16,22.27,2.36,0.41,1.32,0.5,0.25,0.95,1.61,6.9,1.45,2.73,0,24%,1.65,85%,83%,11.36,0.04,0.17,1.49,0.08
,  ,Lubomir Seman,Not for Sale,1.79,120,Slovak First Division,,,,6.03,0.06,206,15%,279.55,0.26,,0.26,0.32,0.26,0.12,32%,2.25,0.03,8%,0.73,0.06,8%,2,12.8km,1.49,30.32,26.66,11.74,18.47,1.61,0.76,2.17,0.7,0.44,0.7,1.61,13.23,1.05,3.04,0,37%,1.29,72%,88%,11.06,0.03,0.15,1.05,0.41
,  ,İsak Vural,£65K  £200K,1.03,100,Slovak First Division,,,,6.19,0.1,120,10%,436,0.2,,0.26,0.21,0.26,0.12,23%,2.01,0.1,11%,11.04,1.6,14%,2,12.4km,1.44,30.5,25.75,9.91,18.37,1.6,0.77,2.06,0.46,0.31,0.36,1.91,10.32,0.83,2.32,0,33%,1.34,67%,84%,8.82,0,0.46,0.83,0.15
,  ,Filip Folc,£14K  £40K,0.79,97,Hungarian Division I,,,,10.27,0.13,233,10%,510.5,0.15,,0.19,0.18,0.19,0.11,55%,1.59,0.04,13%,1.01,0.13,13%,3,11.4km,0.93,23.1,19.52,5.38,20.94,0.93,0.62,1.76,0.97,0.18,1.01,0.97,2.38,0.88,1.23,0,15%,0.93,88%,85%,5.24,0,0.31,0.88,0.09
,  ,Robin Bödő,£1.4M  £4.2M,1.22,124,Hungarian Division I,,,,4.36,0.24,92,8%,632.33,0.13,,0.17,0.14,0.17,0.09,32%,1.8,0.09,21%,1.09,0.24,22%,5,13.0km,0.9,39.99,34.44,10.91,14.09,2.8,0.66,1.8,0.57,0.33,0.76,1.52,16.08,1.19,3.13,0,41%,1.95,77%,86%,10.48,0.05,0.19,1.19,0.28
Wnt,  ,Mihály Gál,£45K  £140K,0.9,101,Hungarian Division I,,,,3.74,0.04,88,7%,"1,059.00",0.18,,0.11,0.08,0.11,0.09,32%,0.76,0.04,6%,0.89,0.13,14%,1,11.9km,1.27,38.03,32.85,9.22,17.21,2.68,0.3,1.19,0.38,0.21,0.81,1.57,12.15,1.19,2.76,0,20%,1.87,83%,86%,10.45,0.04,0.25,1.49,0.21
,  ,Gašper Cerar,£700K  £2M,1.5,108,Hungarian Division I,,,,5.04,0.05,103,9%,613.67,0.23,,0.18,0.15,0.18,0.12,28%,0.59,0.05,4%,2.49,0.15,6%,1,12.8km,1.27,30.16,25.18,11.88,17.5,2.44,0.34,1.56,0.44,0.2,0.78,1.56,9.78,2,2.59,0,12%,1.71,71%,83%,9.63,0.05,0.34,2,0.24
,  ,Helgi Egilsson,£300K  £950K,1.28,106,Hungarian Division I,,,,6.08,0.28,172,9%,636,0.22,,0.17,0.14,0.17,0.1,34%,1.03,0.11,27%,1.77,0.35,20%,8,12.7km,1.42,30.67,25.26,9.8,18.01,2.19,0.5,1.66,0.57,0.18,0.53,1.2,12.84,1.24,2.23,0,17%,1.63,87%,82%,9.83,0.04,0.32,1.24,0.14
,  ,János Bernáth,£100K  £325K,1.25,99,Hungarian Division I,,,,3.89,0.19,102,10%,589.75,0.25,,0.12,0.15,0.12,0.08,38%,1.22,0.11,14%,1.3,0.19,15%,5,12.0km,0.92,44.94,39.49,8.74,12.36,3.7,0.5,1.53,0.57,0.31,1.07,1.56,9.69,1.6,3.66,0,31%,1.98,76%,88%,11.41,0.08,0.31,2.1,0.27
Lst,  ,David Langer,£900K,1.33,112,Hungarian Division I,,,,4.61,0,84,4%,820,0.15,,0.42,0.11,0.42,0.15,29%,0.93,0.05,,2.58,0.16,6%,0,12.6km,1.32,33.04,28.76,11.14,18.38,1.81,0.66,2.85,0.82,0.22,0.77,1.21,11.63,1.32,2.58,0,20%,1.65,88%,87%,10.37,0,0.16,2.3,0.16
,  ,Rafael Camacho,£80K  £240K,1.3,91,Hungarian Division I,,,,4.41,0.26,121,13%,617.25,0.16,,0.15,0.15,0.15,0.13,47%,1.64,0.4,29%,1.2,0.33,27%,7,11.8km,0.87,44.25,38.82,8.53,14.65,3.72,0.22,1.17,0.55,0.29,0.84,1.13,11.81,1.49,3.43,0,37%,2.3,83%,88%,10.79,0.11,0.15,1.49,0.15
Wnt,  ,Ádám Sándor Kercsó,£1.3M  £4M,2.14,128,Hungarian Division I,,,,2.94,0.22,82,9%,"1,253.00",0.11,,0.09,0.07,0.09,0.11,32%,0.9,0.04,24%,0.9,0.22,24%,6,11.8km,1.19,45.79,40.19,9.3,14.19,3.74,0.29,0.79,0.25,0.25,0.61,2.08,14.22,1.33,2.94,0,30%,1.83,74%,88%,11.56,0.11,0.11,1.33,0.07
,  ,Gioele Risaliti,£190K  £550K,1.53,97,Hungarian Division I,,,,3.74,0.06,59,,,0.36,,0.06,,0.06,0.08,17%,2.09,0.06,11%,0.57,0.06,11%,1,12.5km,1.01,49.88,43.54,9.51,7.61,4.37,0.13,0.76,0.13,0.32,1.39,1.2,9.06,1.65,2.66,0.06,56%,2.03,84%,87%,9.82,0,0.25,1.65,0.38
,  ,Robin Kovácsréti,£325K  £950K,1.37,105,Hungarian Division I,,,,5.76,0.1,115,10%,598.67,0.14,,0.16,0.15,0.16,0.11,21%,2,0.05,11%,2.46,0.2,8%,2,12.7km,1.6,33.17,27.21,9.47,23.55,2.2,0.3,1.45,0.3,0.25,0.55,2,9.52,1.05,2.31,0,35%,1.45,85%,82%,10.07,0.05,0.25,1.05,0.2
,  ,Piotr Świderski,£325K  £1M,1.62,107,Swedish Premier Division,,,,4.9,0,60,,,0.08,,0.14,,0.14,0.1,25%,0.98,0,,0.82,0,0%,0,13.3km,1.47,31.2,26.46,12.01,20.66,1.31,0.65,1.31,0.33,0.74,0.41,1.72,11.03,0.65,2.61,0,20%,1.96,96%,85%,10.86,0,0.08,1.31,0.08
,  ,Elias Eriksson,£100K  £325K,1,103,Swedish Premier Division,,,,4.16,0,42,7%,908,0.12,,0.15,0.1,0.15,0.1,33%,0.99,0,,0.89,0,0%,0,13.8km,0.99,30.03,25.08,11.7,20.52,2.48,0.5,1.49,0.5,0.1,0.99,1.19,9.12,1.29,2.78,0,24%,1.98,95%,83%,10.11,0,0.3,1.29,
,  ,Christian Granath,£1M  £3M,1.53,119,Swedish Premier Division,,,,6.42,0.18,71,9%,996,0.04,,0.1,0.09,0.1,0.1,55%,1.54,0,25%,0.72,0.18,25%,2,12.5km,0.99,31.72,27.29,11.3,17.98,2.44,0.45,0.99,0.54,0.18,0.9,1.54,13.19,1.36,2.08,0,24%,1.54,85%,86%,10.21,0.09,,1.45,
