Inf,Rec,Name,Transfer Value,Pts/Gm,Aer A/90,Hdrs W/90,K Hdrs/90,Cr C/A,Crs A/90,Cr C/90,OPCr %,OPCrs C,Dist/90,Drb/90,Ps A/90,Ps C/90,Sprints/90,Poss Lost/90,Pr passes/90,Shots Outside Box/90,Shot/90,ShT/90,Blk/90,Clr/90,Int/90,Poss Won/90,OPKP/90,Pres C/90,Shts Blckd/90,Hdr %,Tck/90,Tck R,Pas %,Pres A/90,K Tck/90,Ch C/90,K Ps/90,Asts/90
Wnt,  ,Peter Nemec,£6.8M  £20M,2.03,4.15,1.87,0.35,22%,0.31,0.07,22%,2,13.8km,0.52,54.15,49.24,12.11,4.98,5.16,0.07,0.35,0.07,0.48,0.97,2.01,13.01,0.9,2.11,0.31,45%,1.9,86%,91%,10.24,0.07,0.42,0.9,0.28
Inj,  ,Paddy Bullen,£6.4M  £19.5M,1.17,5.56,0.99,0,11%,0.99,0.12,12%,3,13.3km,2.18,30.89,26.82,11.65,19.1,1.95,0.61,2.18,0.64,0.35,0.64,1.72,10.1,1.16,1.98,0,18%,1.22,78%,87%,10.07,0.03,0.38,1.43,0.23
,  ,Nicki Henriksen,£6.2M  £19M,1.75,2.12,0.44,0,19%,4.54,0.57,13%,4,12.3km,0.91,47.94,41.96,10.93,11.84,3.53,0.3,1.24,0.47,0.24,0.74,1.61,14.16,1.72,2.66,0,21%,1.65,74%,88%,10.73,0.1,0.34,2.25,0.2
,  ,Torstein Haugen,£6.2M  £19M,2.03,3.08,1.7,0.07,35%,0.72,0.25,35%,7,12.9km,1.23,47.77,41.9,11.16,12.07,2.9,0.36,0.8,0.36,0.33,0.58,1.7,15.66,0.83,2.97,0,55%,1.74,77%,88%,10.48,0.07,0.43,0.83,0.25
,  ,Ihor Syrota,£6.2M  £19M,1.77,3.06,0.86,0.04,7%,0.57,0.04,7%,1,12.4km,1.1,46.04,39.47,9.96,10.82,3.22,0.2,1.1,0.37,0.69,1.35,1.92,14.29,0.98,2.2,0,28%,1.43,81%,86%,10.04,0.04,0.24,0.98,0.04
Wnt,  ,Emre Koç,£6.2M  £18.5M,2.12,3.5,1.53,0.15,46%,0.64,0.3,46%,6,13.1km,1.33,47.09,40.84,12.91,10.1,4.14,0.54,1.77,0.84,0.3,0.39,2.27,15.81,1.67,2.56,0,44%,1.72,83%,87%,11.67,0.1,0.49,1.67,0.34
,  ,Vidas Jakočiūnas,£6.2M  £18.5M,1.44,4.3,2.4,0.27,22%,0.68,0.15,22%,4,12.6km,0.99,48.14,42.47,10.73,9.29,4.07,0.15,0.38,0.08,0.34,0.8,1.9,14.58,0.8,2.63,0.08,56%,2.25,86%,88%,10.24,0.04,0.3,0.8,0.15
,  ,Kutsuay Taşkent,£6.2M  £18.5M,1.61,4.05,0.92,0.06,20%,5.09,0.75,15%,5,13.9km,1.67,35.78,30.83,14.11,17.99,2.24,0.63,2.07,0.83,0.29,0.52,2.07,12.84,1.29,2.9,0,23%,1.9,75%,86%,10.95,0,0.69,2.16,0.29
,  ,Soren Fer,£6.2M  £18.5M,1.69,2.23,0.35,0.04,20%,1.07,0.22,20%,10,12.4km,0.74,47.47,41.24,10.9,11.77,3.28,0.22,0.96,0.46,0.31,0.66,1.62,14.43,1.57,2.95,0,16%,1.99,86%,87%,11.38,0.04,0.59,1.88,0.2
Wnt,  ,Dimitris Dimolios,£6M  £18M,1.82,4.09,0.68,0,13%,1.31,0.15,12%,4,13.3km,1.29,33.54,28.52,12.1,15.74,2.22,0.48,2.19,0.96,0.2,0.66,1.64,13.34,1.79,2.45,0,17%,1.71,70%,85%,10.72,0.05,0.4,2.04,0.3
Wnt,  ,Ahmet Çalışkan,£6M,1.86,3.7,1.79,0.12,21%,1.02,0.22,22%,9,11.7km,1.22,42.53,37.94,9.6,12.3,3.15,0.2,1.17,0.47,0.37,0.82,1.69,9.92,1.26,3,0,48%,1.98,79%,89%,10.81,0.07,0.25,1.26,0.22
Wnt,  ,Blazenko Gabrijelić,£5.8M  £17.5M,1.91,3.18,0.57,0.04,16%,0.52,0.09,17%,2,11.6km,1,44.48,37.86,9.66,11.27,3.48,0.57,1.09,0.39,0.48,1.04,1.7,16.02,1.39,2.22,0,18%,1.31,81%,85%,11.23,0,0.35,1.39,0.48
,  ,Javier Celihueta,£5.8M  £17.5M,1,2.9,0.96,0.14,25%,1.45,0.35,24%,8,12.0km,0.81,45.32,40.29,10.9,12.64,4.28,0.46,1.31,0.53,0.14,0.28,1.45,12.39,1.98,2.97,0,33%,1.98,84%,89%,10.87,0.04,0.14,1.98,
Wnt,  ,Joey Lambooij,£5.8M  £17.5M,1.65,3.46,1.38,0.1,26%,0.39,0.1,27%,4,13.4km,0.73,53.85,49.82,13.59,5.87,4.55,0.26,1.07,0.18,0.29,0.75,1.56,14.76,0.99,3.17,0.1,40%,2.47,77%,93%,9.56,0.05,0.31,0.99,0.36
Int,  ,Désiré Diarra,£5.8M  £17.5M,1.13,4.38,1.87,0,21%,1.61,0.26,16%,4,12.9km,1.22,37.6,32.82,10.59,14.46,2.39,0.52,1.69,0.74,0.3,0.82,1.13,15.67,1.22,2.26,0,43%,1.35,74%,87%,10.59,0,0.35,1.82,0.22
,  ,Benjamin Sturm,£5.2M  £15.5M,1.16,3.94,1.8,0.32,10%,0.99,0.11,11%,3,12.6km,0.83,47.33,41.35,10.77,10.67,4.29,0.11,0.48,0.11,0.32,0.7,1.61,12.36,1.15,3.06,0.05,46%,2.28,85%,87%,10.29,0.05,0.24,1.15,0.27
Int,  ,Erwin Barmaz,£5.2M  £15.5M,1.87,3.92,0.41,0.03,3%,0.91,0.03,4%,1,13.3km,1.86,33.29,28.62,12.15,14.89,2.06,0.74,1.96,0.68,0.3,0.51,1.59,15.6,1.32,2.23,0,10%,1.32,78%,86%,11.06,0,0.41,1.32,0.2
,  ,Daniel Troso,£5.2M  £15.5M,1.34,2.28,0.65,0.08,38%,1.43,0.33,23%,7,13.0km,0.45,56.13,50.71,10.92,6.97,6.56,0.12,0.33,0.04,0.37,0.73,2,10.64,1.1,2.04,0,29%,1.47,65%,90%,9.33,0.08,0.08,1.79,0.04
,  ,Franco Lanni,£5.2M  £15.5M,1.66,2.84,1.17,0.05,38%,0.71,0.27,38%,10,12.2km,0.82,46.41,41,10.52,8.14,3.36,0.27,1.15,0.44,0.27,0.9,1.69,16.91,1.47,2.81,0,41%,1.86,80%,88%,10.93,0.05,0.08,1.78,0.14
,  ,Arbi Beqiri,£5M  £15.5M,1.41,4.41,1.63,0.6,17%,0.96,0.17,17%,5,12.8km,0.93,41.5,36.62,11.28,14.26,3.45,0.1,0.36,0.1,0.3,0.83,1.26,11.05,1.49,2.75,0,37%,1.69,75%,88%,11.35,0.07,0.03,1.49,
Wnt,  ,Kévin Perez,£5M  £15M,1.31,5.99,1.4,0,28%,2.37,0.36,15%,8,12.6km,1.4,29.77,25.11,11.12,17.15,1.97,0.22,0.75,0.22,0.25,0.72,1.29,11.77,1.22,2.83,0,23%,1.36,68%,84%,10.33,0.04,0.18,1.22,0.11
Inj,  ,Jerimo Edwards,£5M  £15M,1.37,3.19,0.99,0.08,17%,0.96,0.17,18%,6,12.1km,0.85,45.78,39.07,9.47,12.8,3.3,0.14,0.54,0.2,0.51,0.76,1.69,13.22,0.96,2.99,0,31%,2.25,81%,85%,10.23,0.03,0.17,0.96,0.06
,  ,Thomas Rasmussen,£5M  £15M,0.92,4.13,2.36,0.53,16%,0.42,0.07,17%,2,12.8km,0.6,49.44,43.24,10.47,6.52,4.97,0.04,0.14,0,0.14,0.67,1.59,11.21,1.23,3.03,0.07,57%,2.26,74%,87%,9.66,0.18,0.28,1.23,0.28
nEU,  ,Lewis Miley,£5M  £15M,1.79,3.74,2.22,0.27,20%,0.91,0.18,20%,6,12.3km,0.79,52.32,45.47,11.2,13.61,3.77,0.55,1.61,0.85,0.37,0.67,1.7,14.15,1.49,2.43,0,59%,1.58,74%,87%,10.59,0.03,0.18,1.55,0.18
Wnt,  ,Valentinos Pikoulas,£5M  £15M,1.56,3.67,1.71,0.31,3%,0.91,0.03,4%,1,12.4km,0.73,47.34,41.4,11.19,11.89,3.32,0.42,1.12,0.31,0.38,0.49,1.85,15.38,1.78,3.22,0,47%,2.31,77%,87%,11.54,0.17,0.42,1.78,0.24
,  ,Alejandro Cabrera,£4.8M  £14.5M,1.93,3.31,0.95,0.05,25%,0.76,0.19,25%,7,12.0km,1.25,44.14,38.58,10.02,9.94,3.31,0.46,1.17,0.43,0.6,1.03,2.2,18.57,1.28,2.66,0,29%,1.82,77%,87%,11.08,0.03,0.43,1.28,0.41
,  ,Juraj KocisKoval,£4.7M  £14M,1.17,3.17,1.35,0.04,22%,0.71,0.16,22%,4,12.8km,1.27,46.88,40.82,13.2,14.23,3.29,0.04,0.24,0.16,0.36,0.59,1.39,9.31,0.95,3.84,0,43%,2.1,72%,87%,10.74,0.04,0.2,0.95,0.16
,  ,Davide Basso,£4.7M  £14M,1,3.66,0.92,0,,0.23,0,0%,0,12.4km,0.31,51.1,46.53,11.29,7.7,4.42,0.23,0.46,0.15,0.46,0.61,1.6,10.37,1.14,2.36,0.53,25%,2.06,79%,91%,9.53,0,0.31,1.14,0.38
Wnt,  ,Oliver Søgaard,£4.6M  £14M,1.66,3.32,0.82,0,20%,1.3,0.22,17%,7,12.5km,0.92,43.39,38.33,10.63,11.23,3.73,0.66,1.49,0.54,0.32,0.47,1.33,12.65,1.58,3.61,0,25%,2.5,83%,88%,11.35,0.03,0.38,1.58,0.19
,  ,Paulo Roberto,£4.6M  £13.5M,1.33,1.7,0.71,0.03,34%,0.74,0.26,35%,8,12.8km,0.74,51.2,45.03,12.4,10.41,4.95,0.19,0.77,0.32,0.42,1.09,1.57,13.52,2.06,2.67,0,42%,1.73,73%,88%,11.31,0.13,0.42,2.06,0.1
,  ,Isak Jønvik Holmen,£4.5M  £13.5M,1.36,3.04,0.99,0.04,27%,0.4,0.11,27%,3,13.0km,0.8,48.57,43.08,12.1,10.17,4.72,0.37,1.06,0.37,0.37,0.66,1.57,11.3,1.35,3.95,0,33%,2.52,76%,89%,10.31,0.18,0.48,1.35,0.22
,  ,Siniša Hadžibulić,£4.5M  £13.5M,1.58,4.32,1.93,0.24,13%,4.6,0.51,11%,4,12.4km,1.33,44.29,38.39,10.31,10.7,3.54,0.6,1.81,0.54,0.57,0.94,2.03,12.03,1.21,2.81,0,45%,1.78,79%,87%,10.22,0,0.3,1.21,0.12
Int,  ,Lucas Bergvall,£4.5M  £13.5M,1.62,4.17,1.75,0.58,33%,4.57,0.91,20%,4,12.7km,0.91,57.11,52.84,10.6,5.19,6.1,0.07,0.48,0.07,0.29,0.69,1.32,13.15,1.39,2.96,0.04,42%,2.63,88%,93%,9.65,0.11,0.62,1.5,0.11
,  ,Barış Şirin,£4.3M  £13M,1.18,3.73,0.92,0,20%,0.6,0.12,20%,3,11.5km,1.08,42.99,38.3,10,9.51,3.21,0.44,0.72,0.04,0.44,0.76,2.29,15.86,0.92,2.65,0,25%,1.89,78%,89%,11.04,0.08,0.52,0.92,0.12
,  ,Aly Diaby,£4.3M  £13M,1.1,3.86,2.09,0.25,37%,0.66,0.25,38%,6,12.2km,0.78,42.93,36.44,10.27,10.52,4.11,0.08,0.45,0.08,0.58,0.94,1.93,14.62,1.36,2.63,0,54%,2.14,83%,85%,11.54,0,0.21,1.36,0.08
,  ,Nicolas Pedersen,£4.3M  £13M,1.98,2.9,0.87,0.11,33%,0.25,0.08,33%,3,12.8km,0.78,52.43,45.87,11.42,3.99,5.33,0.06,0.5,0.17,0.5,0.95,1.73,14.18,1.34,2.4,0.06,30%,1.81,87%,87%,9.94,0.06,0.31,1.34,0.11
,  ,Fahad AlSaleh,£4.3M  £13M,1.73,3.54,1.59,0.14,8%,0.83,0.07,8%,1,11.7km,1.18,41.46,36.75,9.15,11.37,2.7,0.21,0.97,0.35,0.55,0.83,1.73,12.13,1.25,2.7,0,45%,1.87,82%,89%,10.33,0.07,1.11,1.25,0.21
Wnt,  ,Håkon Vedvik,£4.2M  £12.5M,0.94,5.14,2.81,0.47,33%,0.58,0.17,29%,4,12.4km,0.61,49.86,45.56,10.9,7.45,3.96,0.14,0.27,0.03,0.61,0.88,1.56,11.78,1.05,2.37,0.64,55%,1.79,70%,91%,9.34,0.03,0.34,1.05,0.1
Wnt,  ,Mikulas Sluka,£4.1M  £12.5M,1.6,4.25,2.68,0.36,16%,0.33,0.06,17%,2,12.9km,0.52,55.1,50.08,11.48,5.21,5.63,0.19,0.55,0.11,0.33,0.74,1.68,15.48,1.35,3.17,0.06,63%,2.26,68%,91%,9.6,0.11,0.61,1.35,0.3
nEU,  ,Ivan Hryhorenko,£4.1M  £12M,0.82,2.61,0.5,0.03,4%,0.77,0.03,4%,1,12.2km,1,43.81,38.53,9.83,14.25,3.75,0.13,0.5,0.07,0.43,0.57,1.71,11.77,1.27,2.74,0,19%,1.97,84%,88%,11.34,0,0.57,2.34,0.3
,  ,Josef Jelínek,£4.1M  £12M,1.39,4.42,1.24,0.39,9%,0.85,0.08,9%,1,13.1km,0.62,43.1,36.74,11.16,15.81,3.57,0.16,0.39,0.16,0.47,0.62,1.94,13.41,1.32,1.86,0,28%,1.4,78%,85%,12.09,0,0.23,1.32,0.31
,  ,David Windisch,£4M  £12M,1.91,2.54,0.34,0,8%,7.25,0.93,13%,2,12.5km,1.4,43.19,37.71,10.45,10.64,3.6,0.42,1.16,0.42,0.4,0.61,2.09,17.2,1.27,2.81,0,14%,1.59,71%,87%,11.14,0.08,0.48,2.54,0.34
Wnt,  ,Anton Markov,£3.9M  £11.5M,1.69,3.1,1.18,0.11,14%,1.32,0.14,11%,5,12.0km,0.98,48.21,42.04,10.19,9.38,3.19,0,0.17,0,0.23,0.49,1.58,17.56,1.09,3.07,0,38%,2.04,78%,87%,11.94,0.06,0.17,1.15,0.11
,  ,Marc Tanner,£3.9M  £11.5M,1.86,4.89,0.8,0.02,10%,0.65,0.06,10%,3,12.9km,2,30.36,25.88,11.43,18.47,1.53,0.6,1.66,0.58,0.3,0.88,1.59,9.34,0.93,2.41,0,16%,1.38,84%,85%,9.67,0,0.45,1.23,0.15
,  ,Ibrahim Dumont,£3.8M  £11.5M,1.79,2.95,1.65,0.27,7%,0.34,0.02,7%,1,12.5km,0.91,49.25,44.54,11.07,7.24,4.97,0.07,0.3,0.05,0.27,0.57,1.4,12.45,1.33,2.85,0.27,56%,1.94,72%,90%,9.99,0.02,0.42,1.33,0.2
,  ,Rune Myklevold,£3.7M  £11M,1.83,3.52,1.55,0,12%,0.81,0.1,12%,3,12.2km,1.16,44.37,38.42,10.05,15.25,2.97,0.52,1.26,0.55,0.39,0.81,1.55,11.34,1,3.23,0,44%,2.13,83%,87%,11.44,0.06,0.16,1,0.1
,  ,Héverton,£3.6M  £11M,1.81,3.23,0.5,0.05,27%,2.67,0.4,15%,12,11.9km,1.27,44.47,39.86,9.29,9.48,3.57,0.29,0.87,0.29,0.29,0.66,1.77,18.29,1.48,3.41,0,16%,2.51,80%,90%,10.96,0.03,0.4,1.48,0.11
Wnt,  ,Andrea Carnevale,£3.6M  £11M,2.1,2.35,0.61,0.03,16%,0.73,0.12,17%,4,12.5km,1.01,46.18,40.25,11.7,9.9,3.61,0.18,1.16,0.4,0.37,0.58,1.71,17.08,1.41,3.24,0,26%,2.05,78%,87%,11.61,0.12,0.64,1.41,0.31
,  ,Jósef Kristinn Matthíasson,£3.5M  £10.5M,1.88,2.68,0.52,0.03,12%,0.88,0.11,13%,4,12.1km,0.71,48.65,42.06,10.34,9.76,4.57,0.38,0.88,0.36,0.19,0.41,1.67,15.94,2.13,3.14,0,19%,2.16,81%,86%,11.24,0.11,0.22,2.13,0.16
Wnt,  ,Nassim El Harmouz,£3.5M  £10.5M,2.18,2.18,0.71,0.06,35%,0.41,0.15,36%,5,13.2km,0.88,53.72,48.56,12.84,6.98,5.6,0.38,1.18,0.27,0.29,0.5,1.86,11.54,1.41,3.24,0,32%,2.09,63%,90%,9.51,0.03,0.44,1.41,0.32
,  ,Iñaki Nieto,£3.3M  £10M,0.85,4.26,1.85,0.34,,0.25,0,0%,0,12.8km,0.53,51.2,45.81,11.61,9.29,5.19,0.06,0.19,0.03,0.47,0.75,1.63,12.36,1.28,2.79,0.5,43%,1.94,82%,89%,10.39,0.13,0.25,1.28,0.06
Int,  ,Jurgen Musta,£3.3M  £9.8M,0.82,3.7,0.66,0,25%,0.62,0.16,25%,4,13.0km,1.44,33.92,29.32,11.96,15.81,2.57,0.66,1.91,0.7,0.27,0.58,1.67,10.75,1.71,2.34,0,18%,1.6,69%,86%,11.22,0.04,0.23,1.71,0.16
,  ,Ablaye Camara,£3.2M  £9.6M,1.97,4.02,1.94,0.26,8%,8.6,0.99,11%,2,13.0km,1.12,48.05,42.25,11.7,11.86,2.8,0.36,1.19,0.69,0.33,0.59,1.52,13.54,1.09,2.87,0,48%,1.32,61%,88%,11.37,0.03,0.33,1.09,0.36
Wnt,  ,Alessandro Di Paolo,£3.2M  £9.6M,0.91,3.26,1.4,0.18,25%,0.42,0.11,25%,3,12.8km,0.49,51.65,45.88,11.63,5.99,4.66,0.14,0.56,0.14,0.49,1.19,1.51,12.68,1.54,2.8,0.14,43%,2.17,81%,89%,8.96,0.07,0.49,1.54,0.14
,  ,Javlon Reardon,£3.2M  £9.4M,1.5,3.29,0.77,0.07,31%,0.86,0.27,32%,12,12.4km,1.04,45.12,39.06,10.53,16.03,3.43,0.36,0.79,0.32,0.38,0.72,1.65,10.64,1.08,3.04,0,23%,2.07,84%,87%,10.78,0.09,0.2,1.53,0.11
Int,  ,Jair Monteiro,£3.1M  £9.4M,1.93,4.65,2.25,0.21,11%,0.81,0.08,10%,3,11.9km,1.2,44.18,38.69,10.08,11.33,3.37,0.73,2.19,0.63,0.44,0.76,1.75,15.4,1.25,2.82,0,48%,1.85,78%,88%,10.78,0,0.5,1.25,0.37
,  ,Leonardo Ferreira,£3.1M  £9.4M,1.12,3.36,1.68,0,27%,0.68,0.19,27%,6,12.0km,0.87,43.77,37.87,10.45,10.76,2.95,0.78,1.93,0.62,0.34,0.93,1.74,11.5,1.03,2.42,0,50%,1.43,74%,87%,10.41,0.09,0.34,1.03,0.19
,  ,Haldun Şhabe,£2.9M  £8.8M,1.35,3.15,0.56,0.07,14%,0.79,0.11,14%,3,11.7km,0.82,43.88,39.57,9.1,12.4,3.18,0.26,1.05,0.3,0.56,1.05,1.91,11.2,1.05,2.66,0,18%,1.65,79%,90%,10.57,0,0.37,1.05,0.26
Wnt,  ,Raimon Perarnau,£2.9M  £8.6M,2.09,3.71,1.25,0.18,26%,0.89,0.24,27%,8,12.1km,1.57,46.44,40,10.56,10.11,2.91,0.39,1.16,0.47,0.36,0.65,1.81,17.53,1.28,3.44,0,34%,2.22,71%,86%,11.62,0.12,0.42,1.28,0.33
,  ,Alex Furik,£2.8M  £8.4M,1.52,4.36,0.7,0.04,13%,1.17,0.16,13%,4,12.8km,1.64,29.26,25.44,13.6,17.61,2.3,0.78,2.69,1.29,0.16,0.74,1.09,12.43,1.56,2.57,0,16%,1.64,88%,87%,9.55,0,0.27,2.84,0.16
,  ,Kristoffer Kaldestad,£2.8M  £8.4M,1.48,3.44,0.85,0.05,14%,1.11,0.16,14%,3,12.4km,1.22,42.3,37.44,11.58,12.53,4.23,0.26,0.95,0.21,0.21,0.69,1.64,9.52,2.01,3.33,0,25%,2.22,78%,89%,11.74,0.05,0.48,2.01,0.21
,  ,Victor Arvidsson,£2.7M  £8.2M,1.41,2.45,0.77,0.09,12%,2.26,0.32,14%,3,12.3km,0.91,45.48,40.18,10.55,16.26,3.31,0.32,1.31,0.54,0.27,1.31,1.81,10.1,1.49,2.72,0,31%,1.68,74%,88%,11.01,0.23,0.59,1.49,0.14
Wnt,  ,Alexandr Vorontsov,£2.6M  £8M,1.66,3.3,0.85,0.03,3%,1.05,0.03,3%,1,11.8km,0.88,44.9,39.8,9.84,12.35,3.56,0.13,0.98,0.46,0.2,0.69,1.47,13.04,1.24,3.3,0,26%,2.35,75%,89%,10.82,0,0.29,1.24,0.16
Wnt,  ,João Carvalho,£2.6M  £7.6M,1.75,5.26,3.25,0.37,25%,1.34,0.34,25%,10,11.8km,0.87,42.79,36.92,11.26,10.99,3.05,0.07,0.6,0.13,0.34,0.64,1.68,19.2,1.31,3.18,0,62%,2.55,83%,86%,11.49,0.03,0.2,1.31,0.1
,  ,Sorin Stere,£2.5M  £7.6M,1.29,3.38,0.78,0.06,,0.54,0,0%,0,12.0km,1.39,44.55,36.83,9.89,10.49,3.68,0.42,1.63,0.42,0.54,0.78,1.57,12.06,1.21,2.53,0,23%,1.45,83%,83%,10.01,0.12,0.3,1.21,0.24
Wnt,  ,Harry Vervaart,£2.5M  £7.6M,1.62,2.42,0.74,0.07,,0.64,0,0%,0,12.5km,1.38,48.16,42.31,11.16,11.86,3.26,0.47,0.97,0.27,0.34,0.6,1.65,14.45,1.31,3.16,0,31%,2.05,82%,88%,10.75,0,0.47,1.31,0.34
,  ,Ryan Tait,£2.4M  £7.4M,1.11,4.36,2.02,0.6,35%,0.44,0.16,36%,5,13.0km,0.6,51.9,46.97,12.31,6.98,5.05,0.09,0.19,0,0.25,0.51,1.36,12.25,1.23,3.13,0.25,46%,2.46,73%,91%,9.72,0.09,0.51,1.23,0.13
,  ,Armin Baumoer,£2.4M  £7.2M,1.28,3.51,1.79,0.14,,1.1,0,0%,0,11.7km,1.24,41.94,36.37,9.49,14.71,3.92,0.34,0.96,0.41,0.28,0.34,1.72,12.03,1.24,2.89,0,51%,2.34,87%,87%,10.11,0.07,0.41,1.79,
,  ,David Ozoh,£2.4M  £7.2M,1.4,4.27,2.16,0.25,,0.19,0,0%,0,12.6km,0.89,55.62,49.19,12,7.55,4.97,0,0.19,0,0.38,0.67,1.85,11.43,0.76,3.12,0.19,51%,2.52,81%,88%,9.36,0.13,0.32,0.76,0.19
,  ,Peter Gemmell,£2.3M  £7M,1.13,4.34,1.76,0.14,6%,4.01,0.63,16%,2,12.9km,1.3,38.27,32.94,10.62,17.77,2.55,0.37,1.32,0.56,0.3,0.86,1.95,13.76,1.21,2.27,0,41%,1.53,80%,86%,9.86,0.05,0.53,2.32,0.35
,  ,Gordon Chester,£2.3M  £7M,1.19,3.27,1.02,0.03,9%,1.74,0.15,9%,2,13.0km,1.05,47.23,41.18,12.15,14.55,3.36,0.09,0.6,0.24,0.42,0.87,1.8,12.54,0.87,2.58,0.03,31%,1.95,75%,87%,10.53,0.03,0.18,0.93,0.03
Inj,  ,José Antonio Goñi,£2.3M  £7M,1.95,4.41,2.11,0.36,25%,0.72,0.18,25%,3,12.2km,0.91,43.88,37.73,10.02,10.32,3.32,0.24,0.54,0.24,0.36,0.78,1.57,15.45,1.03,2.6,0,48%,1.93,86%,86%,10.32,0.12,0.48,1.09,0.24
,  ,Atli Ólafsson,£2.3M  £6.8M,1.34,3.83,0.67,0.11,13%,0.78,0.11,14%,3,12.3km,0.81,42.54,37.9,9.92,12.36,3.65,0.04,0.18,0.04,0.25,0.71,1.77,12.47,1.38,3.15,0,18%,1.98,74%,89%,10.98,0.18,0.53,1.38,0.32
,  ,Jesper Nerhus Eikrem,£2.2M  £6.6M,1.09,3.66,1.06,0,21%,0.74,0.16,21%,3,11.9km,0.64,43.83,37.21,9.91,14.58,3.45,0.32,0.69,0.42,0.37,1.11,1.48,11.4,1.27,3.02,0,29%,1.96,77%,85%,11.02,0.11,0.42,1.27,0.32
,  ,Ege Yurt,£2.2M  £6.4M,0.96,4.85,0.77,0.08,16%,0.98,0.16,17%,4,13.0km,1.63,30.67,25.81,11.91,19.29,2.2,0.86,2.57,0.77,0.2,0.53,1.02,9.34,1.47,2.41,0,16%,1.47,86%,84%,10.4,0.04,0.16,1.47,0.08
,  ,Timofey Zhamaletdinov,£2.1M  £6.4M,2,4.21,0.95,0.17,18%,1.12,0.2,18%,6,11.8km,0.65,43.66,37.85,10.23,12.67,3.47,0.34,1.19,0.51,0.17,0.82,1.33,14.64,1.66,2.96,0,23%,2,73%,87%,11.14,0.07,0.31,1.7,0.1
,  ,Iliya Nikolov,£2.1M  £6.4M,1.1,4.5,2.47,0.26,12%,4.95,0.31,6%,2,12.3km,0.88,43.68,38.77,10.69,16.3,3.31,0.22,0.62,0.31,0.49,1.02,1.85,10.6,1.41,2.56,0,55%,1.46,79%,89%,10.73,0,0.18,1.55,0.13
,  ,Enes Çinemre,£2.1M  £6.2M,1.6,4.41,0.85,0.04,15%,5.68,0.71,12%,3,13.0km,1.76,29.28,24.91,11.54,15.66,2.26,0.99,3.25,1.09,0.21,0.64,1.69,11.57,1.48,2.86,0,19%,1.8,86%,85%,10.41,0.14,0.18,2.29,0.14
,  ,Alin Alexe,£2M  £6.2M,1.48,3.11,1.88,0.22,,0.36,0,0%,0,12.7km,0.65,50.35,45.33,10.81,4.45,4.73,0.04,0.25,0.07,0.51,1.08,1.7,16.16,1.23,2.31,0,60%,1.66,82%,90%,9.36,0.11,0.36,1.23,0.11
,  ,Jaroslav Šumbera,£2M  £6M,1.12,3.55,1.95,0.25,19%,0.66,0.13,19%,4,12.9km,0.6,49.51,44.86,11.73,6.16,4.28,0.16,0.53,0.22,0.31,0.91,1.38,13.11,0.82,2.58,0,55%,1.76,81%,91%,9.08,0.03,0.35,0.82,0.16
,  ,Magnus Hansen,£2M  £6M,0.79,2.72,1.1,0,,0.44,0,0%,0,12.8km,1.17,42.5,37.22,11.75,14.24,3.38,0.37,1.54,0.44,0.44,0.88,2.5,12.85,1.25,2.42,0,41%,1.03,56%,88%,11.23,0.07,0.29,1.25,0.15
,  ,Kaan Tunç,£2M  £6M,1.11,4,1.66,0.36,29%,1.25,0.36,29%,7,12.4km,1.4,47.13,42.04,10.85,14.01,3.22,0.1,0.31,0.05,0.21,0.31,1.97,13.24,1.14,3.06,0,42%,1.56,71%,89%,11.21,0,0.1,1.14,0.1
,  ,Timo Hammann,£2M  £6M,1.26,3.59,0.5,0,13%,1.74,0.12,7%,3,12.7km,1.2,43.2,37.48,10.12,14.68,3.32,0.15,0.58,0.15,0.43,0.77,1.89,11.01,1.2,2.98,0,14%,1.97,91%,87%,10.78,0.04,0.19,1.2,0.12
,  ,David Serrano,£2M  £5.8M,1.06,2.92,1.06,0.07,25%,0.28,0.07,25%,2,12.7km,0.53,49.57,43.59,10.7,9.96,3.91,0.18,0.53,0.14,0.56,1.06,1.55,10.48,1.2,2.6,0,36%,1.76,74%,88%,9.78,0.07,0.42,1.2,0.28
Inj,  ,Rade Đorđević,£1.9M  £5.8M,1.66,3.66,0.94,0.04,12%,0.94,0.12,13%,3,12.5km,1.05,43.85,38.94,10.64,11.69,3.47,0.16,1.25,0.39,0.35,0.7,1.48,14.69,1.44,2.77,0,26%,1.91,79%,89%,10.87,0,0.47,1.44,0.27
Wnt,  ,Riccardo Galletta,£1.9M  £5.8M,1.53,3.62,1.8,0.44,12%,1.41,0.17,12%,7,12.6km,0.66,47.07,42.62,12.62,8.95,4.84,0.34,1.12,0.49,0.22,0.61,1.75,14.81,1.07,2.67,0.29,50%,2.26,76%,91%,9.65,0.17,0.24,1.07,0.15
,  ,Jakub Čáp,£1.9M  £5.8M,1.5,3.02,1.22,0.04,37%,0.3,0.11,38%,3,13.1km,0.7,48.91,44.23,12.32,6.93,4.8,0.15,0.52,0.07,0.74,1.25,1.25,11.95,1.22,2.77,0.04,40%,1.88,81%,90%,9.22,0,0.52,1.22,0.3
