Inf,Rec,Name,Transfer Value,Pts/Gm,CA,Division,Aer A/90,Hdrs W/90,K Hdrs/90,Cr C/A,Crs A/90,Cr C/90,OPCr %,OPCrs C,Dist/90,Drb/90,Ps A/90,Ps C/90,Sprints/90,Poss Lost/90,Pr passes/90,Shots Outside Box/90,Shot/90,ShT/90,Blk/90,Clr/90,Int/90,Poss Won/90,OPKP/90,Pres C/90,Shts Blckd/90,Hdr %,Tck/90,Tck R,Pas %,Pres A/90,K Tck/90,Ch C/90,K Ps/90,Asts/90
Loa,  ,Dušan Veljović,£240K  £700K,2.85,101,Serbian Second League Belgrade,7.15,4.77,0.69,,0.15,0,0%,0,10.7km,0.08,54.38,49.15,5.31,1.85,3.08,0.85,1.62,0.08,0.54,0.62,2.62,20.62,0.62,0.77,0.31,67%,0.69,53%,90%,2.62,0.23,0.08,0.62,0.23
,  ,Savo Subotić,£110K  £350K,2.19,101,Serbian First League,6.73,4.72,0.69,,0,0,,0,11.1km,0.06,53.96,43.77,5.41,2.52,3.21,0.06,0.57,0.19,0.31,1.13,1.45,17.92,0.31,1.07,0.31,70%,1.19,86%,81%,2.52,0.06,,0.31,0.31
Ask,  ,Hüseyin Gül,£240K  £700K,1.92,101,Turkish 1. League,7.23,5.31,0.92,,0,0,,0,10.5km,,55.15,49.54,4.69,3.15,3.31,0.08,0.38,0.15,0.46,1,1.77,15.62,0.23,1.15,0.54,73%,1.46,83%,90%,2.77,0.23,0.15,0.23,
,  ,Josué Neto,£425K  £1.3M,0.92,101,Israeli Premier League,7.2,5.34,0.24,,0.08,0,0%,0,10.6km,,57.87,50.02,5.1,3.72,2.51,0.08,0.24,0,0.81,1.78,2.35,16.35,0.57,1.05,0.57,74%,1.05,87%,86%,2.91,0.4,0.08,0.57,
Wnt,  ,Eduard Jerdea,£150K  £475K,1.06,101,Romanian First League,7.25,5.41,0.49,,0.12,0,0%,0,11.0km,,58.12,49.39,4.91,3.5,3.19,0.12,0.61,0.12,0.74,1.6,1.84,18.68,0.31,1.11,1.04,75%,1.11,90%,85%,2.83,0.31,,0.31,
,  ,Robert Arponen,£220K  £650K,1.38,101,Finnish Premier League,7.59,4.75,0.84,33%,0.19,0.06,33%,2,11.0km,,56.47,47.5,5,3.16,3.66,0.19,0.56,0.06,0.47,1,1.81,16.66,0.16,1.25,0.62,63%,1.34,90%,84%,3.22,0.28,0.03,0.16,
,  ,Wasiu Nwakali,£40K  £120K,1.68,101,Optibet Virsliga,6.86,4.36,0.65,,0.12,0,0%,0,11.0km,0.09,55.86,46.39,4.99,3.49,3.43,0.09,0.56,0.19,0.47,1.59,1.47,15.87,0.47,1.34,0.37,64%,1.43,79%,83%,3.09,0.44,0.03,0.47,0.03
Inj,  ,Vít Končal,£160K  £475K,2.08,101,Slovak Second Division,7.17,5.2,0.79,50%,0.16,0.08,50%,1,10.1km,0.16,52.91,44.72,4.65,2.36,4.41,0.16,0.94,0.39,0.24,1.34,1.65,21.02,0.31,1.73,0.31,73%,1.97,93%,85%,3.7,0.39,0.08,0.31,0.16
,  ,Vadim Gorodovoy,£80K  £250K,1.24,101,Optibet Virsliga,8.38,5.39,0.98,20%,0.15,0.03,20%,1,10.8km,0.03,56.87,49.98,5,3.66,3.72,0.34,0.79,0.06,0.52,1.43,1.71,17.13,0.43,1.34,0.67,64%,1.4,87%,88%,3.23,0.24,0.12,0.43,0.06
,  ,Kirill Gubanov,£325K  £950K,1.29,101,Ukrainian Premier League,8.02,5.6,0.92,,0.12,0,0%,0,11.3km,0.23,56.65,46.33,5.13,3.69,4.27,0.12,0.23,0.06,0.4,1.44,1.21,15.92,0.4,1.5,1.1,70%,1.38,75%,82%,3.98,0.35,,0.4,0.06
,  ,Alberto Cabrera,£75K  £230K,1.53,101,Swiss Challenge League,7.66,4.95,0.93,,0.06,0,0%,0,11.2km,0.25,55.76,49.57,4.33,2.35,3.83,0.31,0.68,0.06,0.56,1.17,1.55,22.31,0.25,1.3,1.17,65%,1.61,90%,89%,3.15,0.12,0.06,0.25,0.06
,  ,İlker Ceylan,Not for Sale,1.4,101,Turkish 1. League,7.98,5.19,1.1,100%,0.1,0.1,100%,1,10.8km,0.1,55.68,47.2,4.89,2.49,2.99,0,,,0.7,1.4,1.2,17.46,0.3,0.8,0.4,65%,0.7,78%,85%,2.39,0.2,0.1,0.3,0.1
,  ,Romain Bidart,Not for Sale,1.36,101,Ligue 2 BKT,5.43,3.57,1.21,50%,0.14,0.07,50%,1,7.7km,0.14,45.86,39.86,3.71,3,1.86,0.29,0.5,0.14,0.07,0.93,0.86,12.29,0,1.07,0.29,66%,1.43,91%,87%,2.57,0.21,,,
,  ,Aleksandar Sekulić,£18K  £55K,1.38,100,Serbian SuperLeague,8.15,5.86,1.15,,0.13,0,0%,0,11.2km,,57.71,49.11,5.03,3.31,3.63,0.13,0.38,0.06,0.76,1.59,2.48,19.3,0.32,0.83,0.19,72%,0.83,76%,85%,2.61,0.32,,0.32,0.06
,  ,Bjarte Karlsen,£120K  £375K,0.93,100,Norwegian Premier Division,8.37,6.08,0.73,,0,0,,0,10.8km,0.19,53.16,45.32,4.85,4.62,3.97,0,0.08,0.04,0.61,1.99,1.34,12.46,0.46,0.88,1.57,73%,0.88,85%,85%,2.48,0.11,0.04,0.46,0.04
,  ,Seymen Gür,£240K  £700K,1.17,100,Belgian Challenger Pro League,7.58,5.75,0.42,,0,0,,0,11.2km,,56.42,50.17,5.42,2.75,3.67,0.08,0.33,0.25,0.92,1.5,1.67,17.33,0.75,0.5,0.58,76%,0.5,67%,89%,1.75,0.17,0.08,0.75,0.08
Inj,  ,Oluwaseun Chidi,£120K  £350K,1,100,Nigerian Premier League,,,0,,0,0,,0,0.0km,,20,13.69,0,0,0,0,0.62,0.23,,0,,0,0,0,0,,2,96%,68%,0,0,,,0.08
,  ,Eduardo Ortiz,£230K  £700K,1.8,100,Spanish Federation Second Group 4,3.86,2.92,1.25,,0.1,0,0%,0,5.3km,0.1,36.19,28.37,2.61,1.15,1.46,0,0.52,0,,0.52,0.52,13.56,0.1,0.73,0.1,76%,1.25,92%,78%,1.36,0.1,,0.1,
,  ,Adamu John,£325K  £950K,1,100,Keuken Kampioen Divisie,5.81,4.15,0.6,100%,0.08,0.08,100%,1,9.0km,0.08,50.02,42.77,4.53,2.49,1.89,0,0.38,0,0.6,0.91,1.13,8.9,0.23,0.75,0.23,71%,1.58,100%,86%,2.56,0.38,,0.23,0.08
,  ,Gautier Verhulst,£210K  £650K,1.13,100,Belgian Challenger Pro League,6.92,3.87,0.75,50%,0.14,0.07,50%,1,10.8km,,57.69,49.28,5.23,3.12,3.12,0.07,0.61,0.14,0.68,1.29,1.7,19.21,0.48,1.09,1.29,56%,1.22,95%,85%,2.85,0.48,,0.48,
,  ,Pino Martini,£650K  £2M,1.29,100,Bundesliga 2,7.32,4.76,0.67,,0.06,0,0%,0,11.4km,,57.44,48.96,5.06,3.17,3.54,0.24,0.55,0,0.79,1.83,1.59,19.09,0.3,0.73,0.55,65%,0.91,88%,85%,2.44,0.24,0.06,0.3,0.06
,  ,Gennady Ryaboshapka,£120K  £350K,1.29,100,Optibet Virsliga,8.98,5.99,0.79,,0.04,0,0%,0,10.7km,0.09,55.01,45.46,4.18,2.51,3.48,0.09,0.35,0.13,0.84,1.45,1.72,17.74,0.31,0.88,1.1,67%,0.84,79%,83%,2.77,0.13,0.09,0.31,
,  ,Dobrin Angelov,£190K  £550K,2.07,100,Slovak First Division,6.93,4.89,0.61,,0.14,0,0%,0,11.3km,0.07,57.53,49.86,5.5,3.94,3.53,0.34,0.61,0.2,0.48,1.43,1.43,17.52,0.2,0.95,0.61,71%,0.54,44%,87%,3.4,0.27,0.2,0.2,0.07
,  ,Robin Buisson,£220K  £650K,1.5,100,Portuguese Second League,7.2,4.32,0.59,,0,0,,0,10.5km,,56.95,51.44,4.75,3.56,3.39,0.08,0.17,0,0.68,1.78,1.61,14.66,0.08,1.19,0.42,60%,1.36,89%,90%,3.64,0.08,0.17,0.08,0.08
,  ,Alexandr Vaganov,£210K  £650K,1.11,100,Russian First Division,6.28,3.89,1.22,,0.11,0,0%,0,9.3km,,52,44.44,3.72,3.33,3,0.17,0.56,0.11,0.11,0.78,1.11,12.22,0.06,1.33,0.78,62%,1.78,97%,85%,3,0.11,,0.06,
,  ,Maxim Kolesov,£240K  £750K,1.55,100,Sky Bet League One,8.05,5.65,0.8,33%,0.15,0.05,33%,1,11.4km,0.2,56.8,49.75,5.5,4,3.25,0.45,1.3,0.25,0.6,1.7,1.5,17.7,0.25,1.45,0.25,70%,1.25,76%,88%,3.3,0.25,0.15,0.25,0.05
,  ,Jorge Oni,£140K  £425K,1,100,Bolivian Premier Division,,,0,,0,0,,0,0.0km,,20,13.76,0,0,0,0,0.21,0.03,,0,,0,0,0,0,,1.83,96%,69%,0,0,,,0.1
,  ,Oliver Beller,£28K  £85K,1.38,100,Bundesliga 2,7.44,5,1,,0.06,0,0%,0,11.1km,0.06,56.79,49.16,5.38,3.5,3.82,0.13,0.44,0,0.56,1.75,1.81,14.64,0.31,1.56,0.5,67%,1.56,83%,87%,3.38,0.25,0.19,0.31,
Inj,  ,Kristiyan Panev,£20K  £60K,0.64,100,Bulgarian First League,8.32,6.52,0.57,,0.08,0,0%,0,11.2km,0.08,52.34,46.39,5.3,4.65,3.91,0,0.24,0.08,1.22,1.14,1.63,11.25,0.24,0.65,0.98,78%,0.65,73%,89%,3.42,0.16,,0.24,
,  ,Olívio Escoval,£325K  £1M,0.92,100,Portuguese Second League,8.55,5.1,0.94,50%,0.31,0.16,50%,2,11.2km,0.08,54.64,46.49,4.47,4.08,3.76,0,0.47,0,0.31,1.65,1.18,15.21,0.24,1.18,0.78,60%,1.25,94%,85%,3.61,0.24,0.16,0.24,
,  ,Simon Cankar,£180K  £550K,0.5,99,Israeli Premier League,8.91,6.32,0.61,,0,0,,0,11.3km,,52.27,43.27,4.59,4.93,3.29,0.09,0.35,0,0.87,1.73,1.99,12.38,0.26,0.78,0.52,71%,0.61,78%,83%,3.2,0.17,,0.26,
,  ,Jurdany Jongeneel,£210K  £600K,2.69,99,Keuken Kampioen Divisie,9.4,7.75,0.58,,0,0,,0,11.5km,0.25,54.69,46.28,5.36,3.79,4.37,0.25,0.91,0.25,0.58,2.06,1.4,16.09,0.41,0.99,0.33,82%,0.91,85%,85%,2.97,0,0.08,0.41,0.08
,  ,Rodolphe Abahoumba,£150K  £450K,1.25,99,French National,8.75,5.33,0.67,,0.17,0,0%,0,10.7km,,52.5,43.67,4.33,3,4,0,0.33,0.08,0.58,2.17,1.08,16.92,0.5,1.83,0.5,61%,1.25,65%,83%,4.33,0.67,,0.5,
,  ,Eric Le Corre,£475K  £1.4M,1.82,99,Belgian Challenger Pro League,9,6.73,1,50%,0.18,0.09,50%,1,11.3km,,52.55,47.82,5.18,2.45,4.09,0.45,0.73,0.18,0.27,1.55,1,19.27,0.18,1.18,0.55,75%,1.18,76%,91%,4,0.18,,0.18,
,  ,Cláudio Torquato,£1M  £3.1M,0.6,99,Brazilian National First Division,5.14,3.14,0.46,16%,0.17,0.03,17%,1,7.3km,0.03,41.6,33.06,3.37,2.89,2.51,0.06,0.37,0.03,0.43,1.37,0.74,9.54,0.4,0.71,0.54,61%,1.2,98%,79%,1.94,0.17,0.06,0.4,0.09
,  ,Valentin Krausz,£45K  £140K,0.25,99,Romanian Second League,7,4.75,0.88,,0.19,0,0%,0,9.6km,0.19,49.69,41.75,3.19,2.75,3.44,0,0.44,0.06,0.25,1,0.69,13.81,0.12,1.5,0.75,68%,1.75,97%,84%,3.06,0.19,,0.12,
Inj,  ,Tom Ivar Bjørn Olsen,Not for Sale,0.67,99,Romanian First League,9.92,6.82,1.22,,0.14,0,0%,0,11.4km,0.2,53.14,45.24,3.98,3.51,2.97,0.2,0.47,0.07,0.54,1.96,1.55,12.83,0.2,0.88,1.08,69%,0.61,64%,85%,2.77,0.14,0.07,0.2,
Inj,  ,Vadim Lipnitskiy,£85K  £250K,1.97,99,Belarusian Highest League,8.48,6.01,0.85,,0.07,0,0%,0,11.1km,0.13,54.47,46.15,4.84,2.54,3.77,0.07,0.33,0.07,0.42,1.43,1.2,20.74,0.33,0.98,1.17,71%,0.85,72%,85%,2.57,0.16,0.03,0.33,0.03
,  ,Maurice Kraus,£300K  £900K,1.47,99,3. Liga,10.27,6.87,0.73,20%,0.33,0.07,20%,1,11.3km,0.07,55.87,48.27,5.13,2.2,3.87,0.27,0.8,0.2,0.33,1.53,1.67,25.67,0.33,1.6,0.27,67%,1.33,80%,86%,4.2,0.4,0.2,0.33,
,  ,Golan Vaknin,£450K  £1.3M,1.36,99,Israeli Premier League,8,5.36,1.29,50%,0.14,0.07,50%,1,11.4km,0.14,51.21,43.64,3.5,2.86,3.14,0.29,0.57,0.14,0.29,1.57,1.29,13.71,0.29,1.07,0.5,67%,1.07,94%,85%,2.5,0.14,,0.29,
,  ,Jonathan Nunkoo,Not for Sale,1.81,99,Swedish First Division Elite,7.09,4.52,0.38,100%,0.06,0.06,100%,1,9.1km,0.06,51.68,44.03,4.39,2.51,2.63,0.13,0.38,0,0.75,1.44,1.25,13.92,0.5,0.75,0.5,64%,1.07,94%,85%,2.13,0.25,,0.5,
,  ,Michal Linhart,£80K  £240K,2.18,99,Czech Second Division,9.66,7.23,1.19,,0.12,0,0%,0,10.6km,0.18,55.02,46.84,4.8,3.2,3.97,0.36,1.01,0.18,0.36,1.42,1.25,20.04,0.3,1.25,0.59,75%,1.19,91%,85%,3.32,0.24,0.12,0.3,0.06
,  ,Jakub Krunert,£140K  £400K,2,99,Czech Second Division,9.24,6.22,0.66,,0,0,,0,11.6km,0.06,58.11,49.17,5.74,3.08,4.71,0.42,1.03,0.3,0.66,1.69,1.27,17.7,0.36,1.57,0.42,67%,1.39,82%,85%,3.93,0.24,0.12,0.36,0.06
,  ,Michael Mogale,£70K  £210K,1,99,South African Premier Soccer League,,,0,,0,0,,0,0.0km,,20,13.4,0,0,0,0,0.2,0,,0,,0,0,0,0,,2.07,97%,67%,0,0,,,
,  ,Désiré Duchesne,£190K  £550K,1.73,99,Belgian First National Amateur Division,9.36,6.27,1,,0.27,0,0%,0,10.7km,,54,46.45,4.27,2,3.45,0.18,1.27,0.36,0.36,1.91,1.55,28.27,0.45,1.55,1.09,67%,1.36,88%,86%,3.36,0.36,0.27,0.45,0.09
,  ,Tadej Lazar,£130K  £375K,1.55,99,Slovenian First League,8.9,5.77,1.04,,0,0,,0,10.8km,,52.62,46.09,4.54,2.93,3.5,0.19,0.19,0.19,0.76,1.42,1.8,15.43,0.38,0.66,0.19,65%,0.76,100%,88%,2.46,0,,0.38,
,  ,Thiago Pigosso,£28K  £85K,1,99,Brazilian National Third Division,,,0,,0,0,,0,0.0km,,20,14.53,0,0,0,0,0.42,0.11,,0,,0,0,0,0,,1.53,100%,73%,0,0,,,0.26
Opt,  ,Sebastian Bøhler,£600K  £1.8M,1.07,99,Czech First Division,8.54,7.09,0.34,,0.07,0,0%,0,11.1km,0.07,52.33,46,5.03,3.65,2.96,0.28,0.76,0.14,1.03,2.27,0.96,14.8,0.55,0.96,0.14,83%,0.76,79%,88%,3.72,0.34,0.07,0.55,0.07
,  ,Rudi Boyd,£24K  £70K,1.1,99,Swedish First Division Elite,10.5,8.2,1.2,,0,0,,0,11.4km,0.1,56.3,47.1,5.2,3.4,3.3,0.1,0.6,0.2,0.6,1.4,1.2,18.2,0,0.9,0.3,78%,0.7,78%,84%,2.7,0,0.2,,
,  ,Jhon Jairo González Scott,£0,1,99,Colombian Third Division,,,0,,0,0,,0,0.0km,,20.52,14.34,0,0,0,0,0.46,0.11,,0,,0,0,0,0,,2.08,94%,70%,0,0,,,0.11
,  ,Bogdan Iancu,£250K  £800K,0.46,99,Romanian First League,7.58,5.23,0.81,75%,0.36,0.27,75%,3,10.7km,0.09,56,48.88,4.33,3.25,3.25,0.09,0.18,0,0.36,1.26,1.44,11.81,0.36,0.81,1.44,69%,0.72,57%,87%,3.52,0.27,,0.36,0.09
,  ,Andrea Crotti,£300K  £950K,0.71,99,Bundesliga 2,9.06,5.88,1.35,,0.06,0,0%,0,11.2km,0.12,58,48,5.41,3.18,3.88,0.24,0.53,0,0.53,1.59,0.76,14.18,0.18,1.35,1.76,65%,1.53,96%,83%,3.59,0.12,,0.18,
Inj,  ,Evgeny Belik,£75K  £220K,0.78,99,Belarusian Highest League,8.54,6.07,1.11,,0.12,0,0%,0,11.9km,0.25,58.31,51.62,5.76,2.85,3.53,0.37,0.74,0.31,0.43,1.67,0.87,13.43,0.25,1.42,0.31,71%,1.36,88%,89%,3.78,0.19,,0.25,
,  ,Sergiu Costache,£65K  £190K,2.21,98,,9,6.86,0.93,,0,0,,0,9.9km,0.14,48.93,39.93,4.36,2,2.93,0.43,1.29,0.14,0.86,1.71,1,23.36,0.36,0.79,0.71,76%,0.71,83%,82%,2.57,0.14,0.36,0.36,0.14
,  ,Damir Jovic,£50K  £140K,1.73,98,Optibet Virsliga,8.72,6.05,1.04,50%,0.12,0.06,50%,2,10.9km,0.15,50.99,43,4.88,2.89,3.75,0.15,0.4,0,0.46,1.47,1.41,13.42,0.31,1.38,0.4,69%,1.26,89%,84%,3.53,0.25,0.09,0.31,
,  ,João Casaleiro,Not for Sale,1.46,98,Portuguese Third Division,8.67,5.65,1.32,,0.15,0,0%,0,9.9km,0.15,55.64,47.75,3.33,3.02,3.71,0.15,0.54,0,0.08,1.39,0.77,15.4,0.15,1.32,1.08,65%,1.78,100%,86%,3.4,0.15,0.15,0.15,0.08
,  ,Sean Kee,£120K  £375K,0.79,98,Irish Premier Division,9.02,6.65,0.83,33%,0.18,0.06,33%,2,11.2km,0.09,57.29,48.95,5.45,3.6,3.82,0.12,0.25,0,0.58,1.54,1.29,19.45,0.37,1.08,1.29,74%,0.92,81%,85%,2.89,0.22,0.03,0.37,0.06
,  ,Nehoray Itzhaki,£120K  £375K,1.44,98,Israeli Premier League,9.36,7.34,1.1,,0.13,0,0%,0,10.3km,0.26,51.92,43.67,5.39,4.55,4.16,0.06,0.06,0,0.58,1.36,1.49,11.5,0.39,0.78,0.84,78%,0.78,86%,84%,2.21,0.13,0.13,0.39,
,  ,Christophe Linon,£45K  £130K,1.5,98,French National,9.15,7.1,1.11,,0.17,0,0%,0,11.3km,0.09,52.96,48.17,3.59,3.34,3.94,0.17,0.6,0.09,0.26,1.2,1.54,16.08,0.43,1.2,1.11,78%,1.03,80%,91%,2.82,0.17,,0.43,
,  ,Tadeusz Mucharski,£10K  £35K,1.35,98,Polish First Division,8.15,5.67,1.09,,0.12,0,0%,0,10.5km,,49.38,40.87,3.68,3.62,3.74,0,0.36,0,0.3,1.21,0.97,17.81,0.18,0.97,0.91,70%,0.85,82%,83%,2.96,0.12,0.12,0.18,
,  ,Gregor Weldon,£1K  £3.5K,2,98,cinch Championship,8.7,5.64,0.42,33%,0.21,0.07,33%,1,10.7km,0.14,55.2,46.71,4.66,3.06,4.04,0,0.56,0.07,0.77,1.6,2.09,22.2,0.42,1.32,1.74,65%,1.6,100%,85%,3.41,0.42,0.07,0.42,0.07
,  ,Tobias Gaunitz,£475K  £1.5M,1.27,98,3. Liga,7.67,4.27,0.8,,0.13,0,0%,0,11.0km,0.33,48.07,42,4.87,7.67,3.4,0,0.33,0,0.67,1.2,1.47,15.53,0.33,1.27,0.47,56%,0.87,76%,87%,6.33,0,0.33,0.33,
,  ,Pavel Kaminskiy,£40K  £120K,1.29,98,Belarusian Highest League,8.82,6.89,0.93,40%,0.18,0.07,40%,2,11.0km,0.07,51.68,44.89,4.46,3.57,3.46,0.18,0.5,0.04,0.57,1.86,1.18,15.68,0.32,0.93,0.86,78%,0.82,74%,87%,2.39,0.21,0.07,0.32,0.04
Wnt,  ,Marian Mašek,£1K  £2.5K,1.15,98,Czech Second Division,8.33,6.66,1.31,,0.18,0,0%,0,11.0km,0.26,50.3,41.63,4.91,3.68,3.59,0.26,0.53,0,0.18,1.31,0.96,17,0.18,1.4,0.35,80%,1.31,83%,83%,4.47,0.18,0.18,0.18,
,  ,José Manuel Meléndez,£35K  £110K,1.5,98,3. Liga,7.9,5.69,1.1,,0.06,0,0%,0,10.1km,0.12,51.06,43.9,4.84,2.82,4.1,0.06,0.31,0.18,0.24,1.41,1.04,21.37,0.37,1.29,1.1,72%,1.47,96%,86%,3.12,0.18,0.12,0.37,0.06
,  ,George,£375K  £1.1M,1,98,Brazilian National Second Division,,,0,,0,0,,0,0.0km,,20,13.21,0,0,0,0,1.76,0.68,,0,,0,0,0,0,,1.76,97%,66%,0,0,,,0.06
Ask,  ,Victor Seregin,£210K  £650K,2.21,98,Ukrainian First League,9.43,7.14,1.07,50%,0.29,0.14,50%,2,11.4km,,51.71,44.5,5.21,2.71,2.71,0.29,0.79,0.07,0.79,1.43,1.5,25.43,0.57,0.71,0.79,76%,0.71,83%,86%,2.14,0.36,0.14,0.57,0.14
IPR,  ,Daniel Antelo,£1.9M  £5.8M,1,98,Georgian National League,,,0,,0,0,,0,0.0km,,20,14,0,0,0,0,0.38,0.1,,0,,0,0,0,0,,1.9,95%,70%,0,0,,,0.1
Wnt,  ,Alex Etoundi,£95K  £275K,1.54,98,Czech First Division,10.12,7.61,1.22,,0.15,0,0%,0,10.3km,,52.57,46.33,4.41,2.66,5.55,0.15,0.3,0.15,0.15,1.45,0.91,17.95,0.53,1.83,1.52,75%,1.37,72%,88%,4.34,0.3,,0.53,0.08
,  ,Alex Walker,£110K  £325K,1,98,Sky Bet League Two,5.19,3.96,0.39,,0.17,0,0%,0,6.1km,0.11,38.25,30.61,3.35,2.17,1.62,0.06,0.33,0.06,0.45,0.95,0.67,10.99,0.17,0.67,0.67,76%,1.62,91%,80%,1.78,0.11,,0.17,
,  ,Fidel Molyneaux,£160K  £475K,1.06,98,Sky Bet League Two,3.53,2.18,0.29,,0.06,0,0%,0,4.7km,0.06,32.76,26.71,1.94,1.41,1.29,0.06,0.18,0,0.29,0.53,0.53,7.41,0.18,0.29,0.35,62%,1.24,100%,82%,0.94,0.06,,0.18,0.18
Wnt,  ,Jan Pietilä,£20K  £60K,1.53,98,NordicBet Liga,8.74,6.47,1.21,,0.05,0,0%,0,10.4km,0.16,50.68,42.37,3.74,2.74,3.53,0.16,0.84,0.16,0.26,1.74,0.95,21.37,0.21,1.21,0.89,74%,1.26,92%,84%,2.58,0.11,0.05,0.21,0.05
,  ,Jeoffrey Michaux,£100K  £300K,1.6,98,Israeli National League,8.42,5.05,1.32,100%,0.24,0.24,100%,2,10.7km,0.12,52.82,40.67,4.21,2.77,3.25,0.12,0.6,0.36,0.12,1.8,0.84,16.72,0.24,1.68,0.72,60%,1.8,100%,77%,4.45,0.36,,0.24,
,  ,Sreten Šemper,£70K  £210K,1,98,Hungarian Division I,9.07,5.79,1.14,,0.14,0,0%,0,10.9km,0.14,50.79,43.93,4.43,3.5,4.29,0.21,1,0.14,0.86,1.86,1.36,14.93,0.5,1.21,0.93,64%,1.36,83%,86%,4,0.36,,0.5,
Ask,  ,Mariusz Możdżeń,£95K  £275K,1.5,98,Polish First Division,9.14,7.2,1.59,50%,0.14,0.07,50%,1,10.0km,0.14,50.75,42.23,4.15,3.32,2.7,0.14,0.21,0,0.48,1.32,0.9,14.75,0.21,1.32,0.69,79%,0.97,64%,83%,3.12,0.21,,0.21,0.14
,  ,Elvis Zwartjens,£90K  £275K,1.92,98,Keuken Kampioen Divisie,8.65,5.96,1.06,,0,0,,0,11.3km,0.16,53.12,45.04,3.92,2.77,4.73,0.08,0.24,0.16,0.41,1.47,0.98,21.05,0.08,1.39,0.33,69%,1.55,79%,85%,4.08,0.08,0.08,0.08,
,  ,Pius Babatunde,£12K  £35K,2.22,97,JD Cymru Premier,9.26,6.63,0.94,66%,0.18,0.12,67%,2,11.0km,0.18,52.3,46.44,4.22,2.29,3.99,0.12,0.23,0.12,0.35,1.06,1.23,23.04,0.41,0.82,0.82,72%,0.7,75%,89%,1.88,0.23,0.06,0.41,0.06
,  ,Kasper Koskinen,£90K  £275K,1.2,97,Finnish Premier League,9.3,6.71,0.53,50%,0.12,0.06,50%,1,10.8km,0.12,51.74,45.09,4.65,3.12,3.36,0,0.35,0,0.71,2.06,1.29,18.95,0.53,1.06,1.29,72%,0.94,80%,87%,2.35,0.35,,0.53,
Inj,  ,Mario Muxel,£90K  £275K,1.31,97,Austrian First Division,6.7,4.39,0.4,100%,0.08,0.08,100%,1,8.6km,0.08,48.59,39.97,3.99,2.23,3.67,0.24,0.72,0,0.4,1.04,1.12,14.6,0.32,0.8,0.8,65%,0.96,86%,82%,2.31,0.16,0.16,0.32,
,  ,Evgeny Reznikov,£350K  £1M,2.75,97,Russian Second Division B  Group 4,9.08,6.75,1.17,50%,0.17,0.08,50%,1,10.9km,,51.92,44.58,5.17,2.67,3.75,0.58,1.25,0.17,0.67,1.25,2,23.67,0.25,0.92,0.58,74%,1.08,93%,86%,3,0.17,0.08,0.25,
,  ,Ivan Mijić,£120K  £350K,1.62,97,Slovak Second Division,7.05,4.52,1.23,100%,0.07,0.07,100%,1,8.8km,0.07,47.05,38.7,3.77,3.22,3.29,0.82,1.51,0.48,0.41,1.23,0.89,12.33,0.21,1.37,0.34,64%,1.71,100%,82%,3.29,0.14,0.14,0.21,
,  ,Günter Dubuisson,Not for Sale,0.71,97,Austrian Premier Division,9.41,6.46,0.86,,0.07,0,0%,0,10.7km,,50.35,42.09,4.67,4.6,3.74,0,0.22,0.07,0.65,1.58,1.87,15.66,0.5,0.93,0.36,69%,0.93,87%,84%,2.73,0.14,0.29,0.5,0.07
,  ,Petar Petrov,£350K  £1M,1.07,97,Bulgarian Second League,7.96,5.9,0.96,,0.21,0,0%,0,10.1km,,50.53,40.78,3.78,2.81,3.5,0.21,0.48,0.07,0.41,1.58,1.24,19.7,0.21,1.37,1.17,74%,1.17,74%,81%,3.02,0.34,,0.21,0.07
,  ,Petar Lukić,£30K  £90K,1.04,97,Finnish Premier League,8.38,6.12,0.69,66%,0.12,0.08,67%,2,11.7km,0.08,51.35,43.65,4.85,3,3.62,0.31,0.77,0.15,0.65,1.96,1.38,18.08,0.46,1.23,1,73%,1.15,81%,85%,2.85,0.31,,0.46,
,  ,Ionuţ Banoti,£110K  £350K,1.24,97,Romanian Second League,7.79,6.32,0.55,,0.31,0,0%,0,8.5km,0.12,46.44,38.59,4.05,2.82,2.76,0.06,0.67,0.18,0.37,0.8,1.35,11.41,0.31,0.8,0.67,81%,1.17,90%,83%,2.52,0.25,,0.31,0.06
,  ,Jeremy Busch,£130K  £400K,1.5,97,Portuguese Third Division,8.43,5.96,1.16,100%,0.07,0.07,100%,1,9.9km,0.22,50.23,43.04,4.58,2.4,3.27,0.07,0.51,0,0.36,1.6,0.8,15.48,0.22,1.31,0.73,71%,1.31,90%,86%,3.05,0.29,0.07,0.22,0.07
,  ,Aleksandar Vankov,£45K  £140K,1.69,97,Bulgarian Second League,7.45,5.34,0.59,,0.07,0,0%,0,9.2km,0.2,47.21,39.43,4.48,3.36,2.64,0,0.13,0.13,0.66,1.12,1.38,16.29,0.26,0.53,0.53,72%,0.86,100%,84%,2.77,0,0.13,0.26,0.07
,  ,Hjalti Þorsteinsson,£95K  £275K,1.53,97,Swedish First Division Elite,8.08,6.4,0.67,,0.12,0,0%,0,9.3km,0.03,47.07,37.33,3.79,2.97,2.42,0.09,0.28,0,0.46,1.16,1.22,12.36,0.18,0.95,0.52,79%,1.29,98%,79%,2.85,0.28,0.06,0.18,0.03
